fanduel_id,player,position,salary,team,opponent,game,roster_position,v3_projection,pts_per_1k,injury_indicator,injury_details,gsis_id,nflverse_position,nflverse_status,mapping_status
134251-63336,Joe Burrow,QB,8200,CIN,HOU,CIN@HOU,QB,19.17,2.337,Q,Back,00-0036442,QB,ACT,ok
134251-89951,Trevor Lawrence,QB,7800,JAC,DEN,JAC@DEN,QB,18.87,2.419,"","",00-0036971,QB,ACT,ok
134251-31716,Dak Prescott,QB,8000,DAL,WAS,WAS@DAL,QB,18.12,2.265,"","",00-0033077,QB,ACT,ok
134251-63115,Lamar Jackson,QB,8800,BAL,NO,NO@BAL,QB,17.87,2.031,"","",00-0034796,QB,ACT,ok
134251-85607,Brock Purdy,QB,8100,SF,MIA,MIA@SF,QB,17.32,2.138,"","",00-0037834,QB,ACT,ok
134251-152113,Caleb Williams,QB,8400,CHI,MIN,MIN@CHI,QB,16.68,1.986,"","",00-0039918,QB,ACT,ok
134251-102785,Jayden Daniels,QB,7900,WAS,DAL,WAS@DAL,QB,16.51,2.09,"","",00-0039910,QB,ACT,ok
134251-69189,Justin Herbert,QB,7400,LAC,LV,LV@LAC,QB,16.51,2.231,"","",00-0036355,QB,ACT,ok
134251-102965,Bo Nix,QB,7300,DEN,JAC,JAC@DEN,QB,16.49,2.259,"","",00-0039732,QB,ACT,ok
134251-41535,Baker Mayfield,QB,7600,TB,CLE,CLE@TB,QB,16.32,2.147,"","",00-0034855,QB,ACT,ok
134251-63484,Kyler Murray,QB,7000,MIN,CHI,MIN@CHI,QB,16.12,2.303,O,Concussion,00-0035228,QB,ACT,ok
134251-119606,Bryce Young,QB,7200,CAR,ATL,CAR@ATL,QB,15.7,2.18,"","",00-0039150,QB,ACT,ok
134251-69531,Jalen Hurts,QB,8600,PHI,TEN,PHI@TEN,QB,15.29,1.778,"","",00-0036389,QB,ACT,ok
134251-54879,Deshaun Watson,QB,6600,CLE,TB,CLE@TB,QB,14.65,2.22,"","",00-0033537,QB,ACT,ok
134251-88431,Tyler Shough,QB,7000,NO,BAL,NO@BAL,QB,14.61,2.088,"","",00-0040743,QB,ACT,ok
134251-152575,J.J. McCarthy,QB,6200,MIN,CHI,MIN@CHI,QB,14.24,2.297,"","",00-0039923,QB,ACT,ok
134251-90572,Tua Tagovailoa,QB,6900,ATL,CAR,CAR@ATL,QB,13.98,2.026,D,Oblique,00-0036212,QB,ACT,ok
134251-69017,Jordan Love,QB,7700,GB,NYJ,GB@NYJ,QB,13.66,1.774,"","",00-0036264,QB,ACT,ok
134251-152316,Drake Maye,QB,7500,NE,PIT,PIT@NE,QB,13.43,1.79,"","",00-0039851,QB,ACT,ok
134251-26483,Geno Smith,QB,6700,NYJ,GB,GB@NYJ,QB,12.93,1.929,"","",00-0030565,QB,ACT,ok
134251-129471,C.J. Stroud,QB,7100,HOU,CIN,CIN@HOU,QB,12.79,1.802,"","",00-0039163,QB,ACT,ok
134251-168356,Cam Ward,QB,6500,TEN,PHI,PHI@TEN,QB,12.72,1.957,"","",00-0040676,QB,ACT,ok
134251-30231,Jacoby Brissett,QB,6900,ARI,SEA,SEA@ARI,QB,12.38,1.794,"","",00-0033119,QB,ACT,ok
134251-6894,Aaron Rodgers,QB,7100,PIT,NE,PIT@NE,QB,11.71,1.649,"","",00-0023459,QB,ACT,ok
134251-88797,Michael Penix Jr.,QB,6900,ATL,CAR,CAR@ATL,QB,10.73,1.554,O,Knee - acl,00-0039917,QB,ACT,ok
134251-63589,Sam Darnold,QB,6800,SEA,ARI,SEA@ARI,QB,9.8,1.441,O,Lower body,00-0034869,QB,ACT,ok
134251-160938,Quinn Ewers,QB,6000,JAC,DEN,JAC@DEN,QB,9.56,1.593,"","",00-0040234,QB,ACT,ok
134251-184183,Shedeur Sanders,QB,6300,CLE,TB,CLE@TB,QB,9.27,1.472,"","",00-0040668,QB,ACT,ok
134251-93382,Aidan O'Connell,QB,6000,LV,LAC,LV@LAC,QB,9.06,1.51,Q,Personal,00-0038579,QB,ACT,ok
134251-22038,Kirk Cousins,QB,6800,LV,LAC,LV@LAC,QB,8.74,1.286,"","",00-0029604,QB,ACT,ok
134251-70324,Carson Wentz,QB,7000,MIN,CHI,MIN@CHI,QB,7.26,1.037,"","",00-0032950,QB,ACT,ok
134251-29358,Marcus Mariota,QB,6000,WAS,DAL,WAS@DAL,QB,7.26,1.211,"","",00-0032268,QB,ACT,ok
134251-6714,Joe Flacco,QB,6000,CIN,HOU,CIN@HOU,QB,6.4,1.066,"","",00-0026158,QB,ACT,ok
134251-119641,Brady Cook,QB,6000,MIA,SF,MIA@SF,QB,5.98,0.996,"","",00-0040398,QB,ACT,ok
134251-90584,Mac Jones,QB,6000,SF,MIA,MIA@SF,QB,5.76,0.96,"","",00-0036972,QB,ACT,ok
134251-87691,Malik Willis,QB,6600,MIA,SF,MIA@SF,QB,4.79,0.726,"","",00-0038128,QB,ACT,ok
134251-111557,Spencer Rattler,QB,6000,NO,BAL,NO@BAL,QB,4.73,0.789,"","",00-0039376,QB,ACT,ok
134251-44715,Cooper Rush,QB,6900,ATL,CAR,CAR@ATL,QB,4.42,0.64,"","",00-0033662,QB,ACT,ok
134251-94748,Tommy DeVito,QB,6000,NE,PIT,PIT@NE,QB,4.41,0.735,"","",00-0038476,QB,ACT,ok
134251-14377,Tyrod Taylor,QB,6000,GB,NYJ,GB@NYJ,QB,4.02,0.67,"","",00-0028118,QB,ACT,ok
134251-70051,Tyler Huntley,QB,6000,BAL,NO,NO@BAL,QB,3.95,0.658,"","",00-0035993,QB,ACT,ok
134251-89607,Tanner McKee,QB,6000,PHI,TEN,PHI@TEN,QB,3.11,0.519,"","",00-0038400,QB,ACT,ok
134251-89628,Davis Mills,QB,6000,HOU,CIN,CIN@HOU,QB,3.1,0.517,"","",00-0036898,QB,ACT,ok
134251-90406,Zach Wilson,QB,6000,NO,BAL,NO@BAL,QB,3.03,0.505,"","",00-0037013,QB,ACT,ok
134251-104576,Sam Howell,QB,6000,DAL,WAS,WAS@DAL,QB,2.63,0.439,"","",00-0037077,QB,ACT,ok
134251-61798,Gardner Minshew II,QB,6000,ARI,SEA,SEA@ARI,QB,2.57,0.428,"","",00-0035289,QB,ACT,ok
134251-92020,Kenny Pickett,QB,6000,CAR,ATL,CAR@ATL,QB,2.18,0.363,"","",00-0038102,QB,ACT,ok
134251-149696,Trey Lance,QB,6000,LAC,LV,LV@LAC,QB,2.13,0.355,"","",00-0037012,QB,ACT,ok
134251-64051,Drew Lock,QB,6800,SEA,ARI,SEA@ARI,QB,2.01,0.296,"","",00-0035704,QB,ACT,ok
134251-38628,Mitchell Trubisky,QB,6000,TEN,PHI,PHI@TEN,QB,1.55,0.259,"","",00-0033869,QB,ACT,ok
134251-154462,Jalen Milroe,QB,6000,SEA,ARI,SEA@ARI,QB,1.16,0.194,"","",00-0040673,QB,ACT,ok
134251-92560,Sam Ehlinger,QB,6000,DEN,JAC,JAC@DEN,QB,1.16,0.193,"","",00-0036879,QB,ACT,ok
134251-53729,Mason Rudolph,QB,6000,PIT,NE,PIT@NE,QB,1.12,0.186,"","",00-0034771,QB,ACT,ok
134251-22994,Case Keenum,QB,6000,CHI,MIN,MIN@CHI,QB,1.04,0.174,"","",00-0028986,QB,ACT,ok
134251-185776,Tyson Bagent,QB,6000,CHI,MIN,MIN@CHI,QB,0.5,0.083,"","",00-0038416,QB,ACT,ok
134251-14225,Andy Dalton,QB,6000,PHI,TEN,PHI@TEN,QB,0.47,0.079,"","",00-0027973,QB,ACT,ok
134251-60947,Jarrett Stidham,QB,6400,DEN,JAC,JAC@DEN,QB,0.45,0.07,"","",00-0035264,QB,ACT,ok
134251-243753,Jack Strand,QB,6300,ATL,CAR,CAR@ATL,QB,,,"","",00-0041194,QB,ACT,no_history
134251-175137,Fernando Mendoza,QB,6200,LV,LAC,LV@LAC,QB,,,"","",00-0041562,QB,ACT,no_history
134251-129010,DJ Uiagalelei,QB,6000,LAC,LV,LV@LAC,QB,,,"","",00-0040464,QB,DEV,inactive_or_practice_squad
134251-166892,Drew Allar,QB,6000,PIT,NE,PIT@NE,QB,,,"","",00-0041565,QB,ACT,no_history
134251-85983,Hendon Hooker,QB,6000,TEN,PHI,PHI@TEN,QB,,,"","",00-0038550,QB,DEV,inactive_or_practice_squad
134251-200653,Max Brosmer,QB,6000,MIN,CHI,MIN@CHI,QB,,,"","",00-0040494,QB,DEV,inactive_or_practice_squad
134251-128944,Haynes King,QB,6000,CAR,ATL,CAR@ATL,QB,,,"","",00-0041149,QB,ACT,no_history
134251-119670,Carson Beck,QB,6000,ARI,SEA,SEA@ARI,QB,,,"","",00-0041561,QB,ACT,no_history
